coderome,a_pourvoir_le,titre_offre,date_publication,des_que_possible_desc,diplome,duree_contrat,nb_postes,numero,created,niveau_formation,experience,commune_emploi,employeur_nom_entreprise,employeur_adresse_correspondance_subdivision,activites_multivalue,competences_multivalue,contact_mail
D1101,2025-04-17,Aide-boucher / Aide-bouchère,2025-04-17 15:40:54+00,Dès que possible,,13 jours,1,2025-04-021643,2025-04-17 15:40:54+00,"CAP, BEP",Au moins 3 ans,Dumbéa,AUCHAN AUTEUIL,98846 NOUMEA CEDEX,"Conditionner des produits,Contrôler la qualité et la conformité d'un produit,Trier des pièces de viande,Définir des besoins en approvisionnement,Entretenir, nettoyer un espace, un lieu, un local,Organiser, aménager un espace de vente",,respadm@auchanauteuil.nc
J1102,2025-07-01,Médecin coordonnateur de soins,2025-04-22 13:32:11+00,"",Diplôme d'Etat de docteur en médecine,,1,2025-04-021670,2025-04-22 13:32:11+00,Bac + 5 et plus,Au moins 1 an,Païta,Résidence des Pavillons d'Eugénie,98890,"Détecter des situations à risques (maltraitance, harcèlement, urgence sociale, addiction...),Pratiquer une autopsie,Réaliser une intervention chirurgicale,Représenter sa structure lors d'un événement ou auprès d'instances de décision,Renseigner, mettre à jour une documentation technique,Concevoir et gérer un projet,Réaliser la prescription médicale, expliquer les modalités de traitement au patient et le conseiller sur l'hygiène de vie,Déterminer les besoins thérapeutiques et réaliser les soins médicaux,Pratiquer des expertises médicales,Recenser les symptômes, les dysfonctionnements, cerner l'environnement de vie du patient et procéder à l'examen clinique,Gérer la relation avec les fournisseurs, sous-traitants, prestataires,Appliquer un cadre juridique ou réglementaire,Actualiser le dossier médical du patient,Réaliser des opérations comptables,Mettre en place des procédures de recueil d'informations médicales,Mettre en oeuvre un projet thérapeutique,Réceptionner les appels en centre de régulation de secours médical en évaluant le degré d'urgence,Assurer la gestion administrative d'une activité,Réaliser des soins selon des méthodes homéopathiques,Réaliser des soins selon des méthodes d'acupuncture,Créer des procédures de recueil d'informations médicales,Enseigner, transmettre des connaissances, développer des compétences,Contrôler la conformité des données ou des documents,Définir la politique et les orientations générales d'une organisation","Addictologie,Rhumatologie,Traumatologie,Médecine légale,Néphrologie,Chirurgie cardiaque,Neurologie,Psychiatrie,Chirurgie pédiatrique,Chirurgie reconstructive et esthétique,Pédiatrie,Pharmacologie,Pneumologie,Médecine d'urgence,Gynécologie,Chirurgie thoracique,Orthopédie,Chirurgie maxillo-faciale,Cardiologie,Analyse statistique",direction@rpe.nc
J1502,2025-04-28,Infirmier général / Infirmière générale,2025-04-28 06:10:30+00,Dès que possible,DIPLOME D'ETAT INFIRMIER,3 mois,1,2025-04-021695,2025-04-28 06:10:30+00,"Bac + 3, bac + 4",Aucune expérience professionnelle,Nouméa,LABORATOIRE DU CATALAN,98800 Nouméa,"Renseigner des supports de suivi d'activité,Déterminer des mesures correctives,Réaliser un suivi d'activité,Mettre en place des procédures qualité,Apporter un appui technique pour le personnel,Contrôler l'application de procédures Qualité, Hygiène, Sécurité et Environnement (QHSE),Contrôler l'application des protocoles de soins","Techniques de prévention et de gestion de conflits,Législation sociale,Règles d'hygiène et d'asepsie",direction@catalan.nc
I1309,2025-04-25,Électricien / Électricienne de maintenance en équipements industriels,2025-04-25 15:16:30+00,Dès que possible,Electrotechnique,6 mois,1,2025-04-021692,2025-04-25 15:16:30+00,Bac +2,Au moins 3 ans,Yaté,CMI KLEIN,98801 NOUMEA CEDEX,"Renseigner, mettre à jour une documentation technique,Concevoir et gérer un projet,Concevoir, améliorer un équipement électrique ou une installation électrique,Superviser des opérations, des actions,Élaborer des règles et procédures de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Gérer un planning,Contrôler des indicateurs de performance, analyser et corriger des écarts,Accompagner l'appropriation d'un outil par ses utilisateurs,Mettre en oeuvre les processus et les modes opératoires techniques,Renseigner les supports de suivi d'intervention,Utiliser des logiciels spécifiques,Estimer les coûts et les délais d'une activité ou d'une prestation,Optimiser un processus industriel,Gérer les stocks,Apporter une assistance technique,Rédiger un cahier des charges, des spécifications techniques,Suivre une opération de maintenance, de support technique,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Préparer du matériel en prévision d'un travail,Relever, contrôler, ajuster des mesures et dosages,Transmettre une technique, un savoir-faire,Élaborer un schéma directeur technique, définir des besoins en équipement",,recrutement@johncockerill.nc
M1608,2025-04-04,Secrétaire comptable,2025-04-04 15:09:56+00,Dès que possible,,3 mois,1,2025-04-021539,2025-04-04 15:09:56+00,Bac +2,Au moins 3 ans,Nouméa,LA COMBE,98807 NOUMEA CEDEX,"Établir un reporting de trésorerie,Utiliser les outils bureautiques,Gérer la trésorerie, le recouvrement,Classer des documents",,daf@cuenet.nc
M1206,2025-04-04,Chef comptable,2025-04-04 15:06:27+00,Dès que possible,BTS CGO / DCG,,1,2025-04-021538,2025-04-04 15:06:27+00,Bac +2,Au moins 3 ans,Nouméa,LA COMBE,98807 NOUMEA CEDEX,"Gérer la relation avec les fournisseurs, sous-traitants, prestataires,Gérer la trésorerie, le recouvrement,Établir des déclarations fiscales et sociales,Réaliser une analyse comptable et financière,Élaborer des tableaux de bord,Contrôler l'efficacité des procédures comptables,Mettre en place les procédures comptables,Assurer la gestion administrative d'une activité,Contrôler la cohérence des comptes sociaux,Établir un état de rapprochement bancaire,Réaliser un bilan comptable,Établir un état financier,Garantir la fiabilité des comptes et des documents comptables,Réaliser une gestion comptable,Élaborer un compte de résultat","Comptabilité générale,Comptabilité tiers,Finance,Suivi des immobilisations comptables",daf@cuenet.nc
M1607,2025-04-28,Secrétaire juridique,2025-04-04 11:45:02+00,"",,2 mois,1,2025-04-021533,2025-04-04 11:45:02+00,Bac +2,Au moins 3 ans,Nouméa,Anonyme,,"Établir, mettre à jour un dossier, une base de données,Utiliser les outils bureautiques,Assurer la gestion administrative d'une activité,Classer des documents,Planifier des rendez-vous,Acceuillir, orienter, informer une personne,Archiver des dossiers et documents de référence,Saisir des documents juridiques","Gestion administrative du courrier,Modalités d'accueil,Normes rédactionnelles",contact@ds-legal.com
F1203,2025-04-28,Chef de mission prospection minière,2025-04-28 15:48:39+00,Dès que possible,,,1,2025-04-021708,2025-04-28 15:48:39+00,"Bac + 3, bac + 4",Au moins 10 ans,Païta,CALTRAC,98889 PAITA,"Renseigner, mettre à jour une documentation technique,Élaborer, suivre et piloter un budget,Analyser la qualité et la conformité des matières premières,Animer le dialogue social,Superviser des opérations, des actions,Établir, mettre à jour un dossier, une base de données,Construire un projet entrepreneurial,Piloter la performance et la rentabilité d'une activité ou d'un projet,Utiliser les outils bureautiques,Définir la production et contrôler la chaîne de traitement des matériaux,Sécuriser le périmètre d'intervention,Ajuster des paramètres d'exploitation,Réaliser une veille technique ou technologique pour anticiper les évolutions,Assurer la gestion administrative d'une activité,Entretenir un équipement, une machine, une installation,Contrôler la conformité des données ou des documents,Contrôler les règles de Qualité, Hygiène, Sécurité, Santé et Environnement (QHSSE),Élaborer un schéma directeur technique, définir des besoins en équipement","Caractéristiques des engins de chantier,Électricité,Règles et consignes de sécurité,Hydraulique,Normes environnementales,Mécanique générale",caltrac.recrutement@caltrac.nc
C1205,2025-03-26,Conseiller / Conseillère en gestion de fortune,2025-03-26 18:05:07+00,Dès que possible,Master en GP,,1,2025-03-021452,2025-03-26 18:05:07+00,Bac + 5 et plus,Au moins 5 ans,Nouméa,IFP PATRIMOINE,98807 NOUMEA CEDEX,"Établir le bilan patrimonial d'un client,Développer et fidéliser la relation client,Établir, mettre à jour un dossier, une base de données,Rédiger des rapports d'activité,Concevoir des montages financiers complexes,Analyser la situation financière d'un client,Orienter un client vers un avocat, un notaire ou un gérant de portefeuille,Respecter la confidentialité des informations",,brouveyrol@ifp.nc
A1501,2025-04-28,Auxiliaire vétérinaire,2025-04-28 10:57:40+00,Dès que possible,,1 mois,1,2025-04-021700,2025-04-28 10:57:40+00,"Bac, bac professionnel",Moins d'1 an,Nouméa,SELARL VETERINAIRES DE LA VALLEE,98800 Nouméa,,,veterinaire@lagoon.nc
